playerName,position,team,adp,projectedPoints,rank,VOR,auction,pffProjections
Chandler Catanzaro,K,TB,200,128,480,-2.1,0,127.9
Sebastian Janikowski,K,SEA,220,126,481,-3.8,0,126.2
Ka'imi Fairbairn,K,HST,200,125,482,-5.2,0,124.8
New England Defense,DST,NE,196,124,483,24.3,0,124.3
Chicago Defense,DST,CHI,200,124,484,23.7,0,123.7
Philadelphia Defense,DST,PHI,120,124,485,23.7,0,123.7
Dallas Defense,DST,DAL,200,123,486,23.1,0,123.1
Zane Gonzalez,K,CLV,200,123,487,-7,0,123
Randy Bullock,K,CIN,200,122,488,-7.6,0,122.4
LA Chargers Defense,DST,LAC,116,122,489,22,0,122
Seattle Defense,DST,SEA,198,122,490,22,0,122
Giorgio Tavecchio,K,OAK,200,122,491,-8.1,0,121.9
Brandon McManus,K,DEN,200,122,492,-8.4,0,121.6
Aldrick Rosas,K,NYG,200,121,493,-8.9,0,121.1
LA Rams Defense,DST,LAR,108,121,494,21,0,121
Cody Parkey,K,CHI,200,121,495,-9,0,121
Minnesota Defense,DST,MIN,112,120,496,20.3,0,120.3
Tennessee Defense,DST,TEN,210,120,497,19.7,0,119.7
New Orleans Defense,DST,NO,147,118,498,17.7,0,117.7
Phil Dawson,K,ARZ,200,116,499,-13.9,0,116.1
Cairo Santos,K,NYJ,200,116,500,-14.3,0,115.7
Stephen Hauschka,K,BUF,200,115,501,-15.4,0,114.6
Baltimore Defense,DST,BLT,136,114,502,14.2,0,114.2
Arizona Defense,DST,ARZ,170,113,503,12.8,0,112.8
Oakland Defense,DST,OAK,200,113,504,12.6,0,112.6
Jason Sanders,K,MIA,200,112,505,-17.8,0,112.2
Carolina Defense,DST,CAR,175,111,506,10.9,0,110.9
Atlanta Defense,DST,ATL,200,106,507,6.3,0,106.3
San Francisco Defense,DST,SF,200,103,508,3,0,103
Tampa Bay Defense,DST,TB,200,102,509,1.5,0,101.5
Washington Defense,DST,WAS,200,101,510,1.2,0,101.2
Pittsburgh Defense,DST,PIT,177,101,511,0.9,0,100.9
Cincinnati Defense,DST,CIN,200,98,512,-1.9,0,98.1
Houston Defense,DST,HST,133,98,513,-2.5,0,97.5
Detroit Defense,DST,DET,200,97,514,-2.9,0,97.1
Kansas City Defense,DST,KC,208,97,515,-2.9,0,97.1
Miami Defense,DST,MIA,200,96,516,-3.6,0,96.4
Indianapolis Defense,DST,IND,200,96,517,-4.5,0,95.5
Green Bay Defense,DST,GB,219,94,518,-5.8,0,94.2
Cleveland Defense,DST,CLV,224,94,519,-6,0,94
Denver Defense,DST,DEN,126,91,520,-8.9,0,91.1
Buffalo Defense,DST,BUF,184,89,521,-10.6,0,89.4
NY Jets Defense,DST,NYJ,200,86,522,-14.4,0,85.6
NY Giants Defense,DST,NYG,200,84,523,-15.8,0,84.2
